Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,49.470001,49.669998,49.180000,49.369999,44.234421,6314800
2019-05-07,49.080002,49.680000,48.220001,49.490002,44.341946,10846100
2019-05-08,49.500000,50.840000,49.500000,50.590000,45.327515,14459600
2019-05-09,50.910000,51.259998,50.119999,51.029999,45.721745,15377500
2019-05-10,51.099998,51.189999,49.860001,50.160000,44.942249,8975300
2019-05-13,48.709999,49.389999,48.340000,48.369999,43.338444,10248300
2019-05-14,48.900002,48.980000,47.560001,47.900002,42.917328,9642400
2019-05-15,47.500000,47.619999,46.630001,47.110001,42.209515,10443800
2019-05-16,46.799999,46.849998,45.410000,45.639999,40.892422,14672800
2019-05-17,45.450001,46.459999,44.549999,44.849998,40.184601,14360100
2019-05-20,45.150002,46.840000,44.910000,46.570000,41.725677,13086100
2019-05-21,46.910000,49.380001,46.910000,49.230000,44.108986,14208300
2019-05-22,49.299999,49.500000,48.400002,48.820000,44.113350,8206200
2019-05-23,48.570000,49.360001,48.270000,48.900002,44.185646,8934600
2019-05-24,49.380001,49.799999,49.049999,49.619999,44.836227,9273900
2019-05-27,49.990002,50.980000,49.990002,50.590000,45.712715,7641500
2019-05-28,50.689999,51.849998,50.459999,51.250000,46.309090,15991100
2019-05-29,50.930000,51.680000,50.630001,51.200001,46.263893,11061200
2019-05-30,51.099998,52.000000,51.060001,51.950001,46.941601,9018800
2019-05-31,51.700001,52.580002,51.130001,51.849998,46.851238,10164600
2019-06-03,52.220001,52.549999,51.650002,52.090000,47.068104,7692400
2019-06-04,52.299999,52.939999,52.020000,52.939999,47.836155,11404900
2019-06-05,52.860001,52.939999,51.189999,51.480000,46.516914,9256500
2019-06-06,52.070000,52.860001,51.450001,52.790001,47.700630,7979900
2019-06-07,52.910000,53.119999,52.360001,52.360001,47.312077,6909100
2019-06-10,52.049999,52.200001,50.970001,51.869999,46.869320,9141300
2019-06-11,52.400002,52.900002,51.840000,52.900002,47.800011,13132800
2019-06-12,52.880001,53.000000,51.919998,52.259998,47.374905,8819600
2019-06-13,52.250000,52.669998,51.270000,51.430000,46.622490,15531800
2019-06-14,51.340000,51.500000,49.939999,50.520000,45.797550,13100600
2019-06-17,50.380001,51.049999,50.139999,50.470001,45.752232,6846000
2019-06-18,50.849998,52.049999,50.779999,51.650002,46.821922,12212600
2019-06-19,51.500000,52.500000,51.110001,52.500000,47.592468,7964300
2019-06-21,52.599998,53.500000,52.599998,52.910000,47.964146,14645400
2019-06-24,52.990002,53.900002,52.639999,53.040001,48.081997,9033600
2019-06-25,52.799999,53.599998,52.250000,52.549999,47.637787,15682100
2019-06-26,52.980000,53.730000,52.700001,53.689999,48.671230,13012300
2019-06-27,53.200001,54.169998,52.939999,53.799999,48.770950,13513800
2019-06-28,54.279999,54.279999,53.349998,53.939999,48.897858,14197400
2019-07-01,54.560001,54.669998,53.509998,53.880001,48.843468,8283200
2019-07-02,53.720001,54.250000,52.770000,53.189999,48.217964,10586200
2019-07-03,53.400002,54.299999,52.529999,54.299999,49.224213,11861800
2019-07-04,54.790001,55.180000,54.680000,55.180000,50.021946,9167100
2019-07-05,55.000000,55.369999,54.320000,55.000000,49.858780,9391600
2019-07-08,55.189999,55.349998,54.820000,54.950001,49.813450,6567500
2019-07-10,55.599998,55.700001,53.790001,54.259998,49.187946,12529600
2019-07-11,54.130001,54.130001,52.810001,53.200001,48.227036,14656000
2019-07-12,53.520000,53.619999,51.799999,52.000000,47.139206,12738500
2019-07-15,52.209999,52.389999,51.060001,51.689999,46.858181,10708500
2019-07-16,52.000000,52.189999,51.509998,51.770000,46.930706,10351100
2019-07-17,51.799999,52.169998,51.509998,51.779999,46.939766,6912500
2019-07-18,51.970001,53.250000,51.869999,52.660000,47.737514,12461000
2019-07-19,52.250000,52.950001,52.000000,52.000000,47.139206,8849700
2019-07-22,52.480000,52.660000,51.970001,52.009998,47.148270,6388400
2019-07-23,52.270000,52.380001,51.400002,51.400002,46.595291,12670600
2019-07-24,51.560001,52.650002,51.470001,52.330002,47.438358,15387500
2019-07-25,52.380001,52.520000,50.060001,50.119999,45.434940,17712000
2019-07-26,50.799999,50.810001,49.930000,50.000000,45.326160,8108800
2019-07-29,50.150002,50.639999,49.820000,50.450001,45.734093,5092200
2019-07-30,50.220001,50.700001,49.110001,49.939999,45.271763,9245000
2019-07-31,50.099998,50.200001,49.200001,49.220001,44.619072,11333700
2019-08-01,49.799999,50.470001,48.689999,48.750000,44.193001,14858500
2019-08-02,48.750000,49.349998,48.000000,48.759998,44.202065,8303900
2019-08-05,47.740002,48.759998,47.419998,47.849998,43.377129,8485400
2019-08-06,48.490002,49.070000,48.209999,48.500000,43.966373,8574100
2019-08-07,48.299999,48.779999,47.549999,48.450001,43.921055,11418500
2019-08-08,49.639999,49.680000,48.470001,48.799999,44.238335,12180400
2019-08-09,48.860001,49.180000,48.299999,48.650002,44.102356,8307100
2019-08-12,47.709999,47.799999,46.959999,47.000000,42.606590,10649600
2019-08-13,46.939999,48.250000,46.790001,47.549999,43.105183,9635700
2019-08-14,46.950001,47.070000,45.689999,45.889999,41.600346,11501500
2019-08-15,46.150002,46.639999,45.250000,45.849998,41.564091,10846200
2019-08-16,46.349998,46.549999,45.349998,45.730000,41.455307,9747600
2019-08-19,46.000000,46.689999,44.730000,44.830002,40.639446,10455600
2019-08-20,45.020000,45.180000,44.070000,44.790001,40.603176,6599800
2019-08-21,45.869999,47.459999,45.740002,47.349998,42.923870,13650300
2019-08-22,47.400002,47.560001,46.380001,46.650002,42.691559,7532600
